iter	Passed	Remaining
0	0	73
1	1	69
2	2	69
3	2	64
4	3	65
5	4	67
6	5	67
7	5	68
8	6	66
9	7	67
10	8	65
11	8	65
12	9	65
13	10	64
14	11	64
15	12	63
16	13	63
17	13	62
18	14	61
19	15	61
20	16	60
21	17	60
22	17	60
23	18	59
24	19	58
25	20	57
26	21	57
27	22	56
28	22	55
29	23	55
30	24	54
31	25	53
32	26	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	31	46
40	31	46
41	32	44
42	33	44
43	34	43
44	34	42
45	35	41
46	36	41
47	37	40
48	37	39
49	38	38
50	39	37
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	28
62	48	28
63	48	27
64	49	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
